BranchNo,CompanyName,Telephone,Address,EmailAddress
1,ABC Insurance,123-456-7890,123 Main St,contact@abcinsurance.com
2,XYZ Insurance,987-654-3210,456 Elm St,support@xyzinsurance.com
3,Best Coverage,555-123-4567,789 Maple Ave,info@bestcoverage.com
4,Secure Future,444-987-6543,101 Oak St,contact@securefuture.com
5,Guardian Insurance,333-789-1234,202 Pine St,help@guardianinsurance.com
6,Safety First,222-456-7890,303 Birch St,support@safetyfirst.com
7,Trustworthy Insure,111-654-9876,404 Cedar St,info@trustworthyinsure.com
8,AllCare Insurance,888-321-6549,505 Willow St,contact@allcareinsurance.com
9,Prime Insurance,777-987-1234,606 Aspen St,support@primeinsurance.com
10,Elite Coverage,999-123-4567,707 Redwood St,info@elitecoverage.com
