Postal Code,Address,Country
529123,123 Lorong 1 Toa Payoh,Singapore
600456,456 Clementi Avenue 3,Singapore
520789,789 Tampines Street 81,Singapore
588888,888 Bukit Timah Road,Singapore
738345,345 Woodlands Avenue 1,Singapore
550567,567 Serangoon North Avenue 4,Singapore
370123,123 Aljunied Crescent,Singapore
649654,654 Boon Lay Drive,Singapore
428756,756 East Coast Road,Singapore
470789,789 Bedok Reservoir Road,Singapore
638910,910 Jurong West Street 91,Singapore
569876,876 Ang Mo Kio Avenue 10,Singapore
430654,654 Geylang Road,Singapore
610123,123 Bukit Batok East Avenue 6,Singapore
399987,987 Kallang Bahru,Singapore
680234,234 Choa Chu Kang Avenue 4,Singapore
545321,321 Hougang Avenue 8,Singapore
510456,456 Pasir Ris Drive 6,Singapore
600987,987 Taman Jurong Street 11,Singapore
529654,654 Simei Street 3,Singapore
